rank,lemma,original_lemma,translation,definitions,english_definition,pos,sentence,english_sentence
432,hey,hey,hey!,,- I'm sorry.,interjection,Hey cómo se supone que voy a saber.,Hey how am I supposed to know.
1554,miguel,miguel,synonym of mí,,- I'm sorry.,Pronoun,Qué ha ido mal miguel.,What's wrong with miguel?
1697,cuántas,cuántas,how many,,- I'm sorry.,Pronoun,Tienes alguna idea de en cuántas casas ha entrado.,You have any idea how many houses he's been in.
2349,jorge,jorge,cockchafer,,- I'm sorry.,Noun,Jorge alberti armando de alba.,Jorge alberti arming at dawn.
2498,martín,martín,black-crowned night heron,,- I'm sorry.,Noun,Dirección y puesta en escena martín clutet.,Direction and staging martin clutet.
2836,brasil,brasil,brazil; brazilwood,,- I'm sorry.,Noun,Se encuentra en argentina brasil paraguay y perú.,"It is found in Argentina, Brazil, Paraguay and Peru."
2970,casualidad,casualidad,fluke; chance; coincidence; happenstance,,- I'm sorry.,Noun,La vida es una casualidad.,Life is a coincidence.
3036,carmen,carmen,a type of house in Granada,,- I'm sorry.,Noun,Las fiestas del carmen son el de julio.,The carmen parties are July.
3183,elena,eleno,female equivalent of eleno,,- I'm sorry.,Noun,Así es como tiene que ser elena.,That's how it has to be elena.
3392,madame,madame,madam,,- I'm sorry.,Noun,No no no no no madame.,No no no no no ma'am.
3953,adios,adios,Anglicization of adiós,,- I'm sorry.,interjection,Estamos aquí para decirle adios.,We're here to say goodbye.
4127,constantemente,constantemente,constantly,,- I'm sorry.,Adverb,No puedo olvidarlo pero no tengo que recordarlo constantemente.,"I can't forget it, but I don't have to remember it all the time."
4205,integración,integración,integration,,- I'm sorry.,Noun,Por qué fuerzas la integración de los espíritus en ciudad república.,Why you force the integration of spirits into republic city.
4262,super,super,very; mega,,- I'm sorry.,Adjective,Hay que hacer el final super feliz.,We have to make the finale super happy.
5024,am,am,a.m,,- I'm sorry.,Adverb,Una brutal golpiza a las am debió tener algún motivo.,A brutal beating at am must have had some motive.
5357,arturo,arturo,gluttonous,,- I'm sorry.,Adjective,Tengo que hacer algo si no arturo morirá.,I have to do something if not arturo will die.
5466,buscarla,buscarla,grass warbler,,- I'm sorry.,Noun,Voy a buscarla por ello.,I'll get her for it.
5504,we,we,guy; dude; buddy,,- I'm sorry.,Noun,We have to pay for the love we stole.,We have to pay for the love we stole.
5513,claudia,claudia,greengage,,- I'm sorry.,Noun,Vamos a la mesa claudia.,Let's go to the claudia table.
5573,baby,baby,girl; love,,- I'm sorry.,Noun,No son dos vasos suficiente baby.,It's not two glasses enough baby.
5588,hall,hall,lobby; lounge,,- I'm sorry.,Noun,Hall ve a ver a la mujer.,Hall go see the woman.
5641,ortega,ortega,black-bellied sandgrouse,,- I'm sorry.,Noun,El de la avenida ortega.,The one on Ortega Avenue.
